date,ACTUAL_PNL,MARKET_PNL,MODEL_PNL,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MARKET_NOISE,MODEL_RESIDUAL,TOTAL_RESIDUAL,FEE_PNL
2026-06-22,872082.2038566007,907286.6694161764,766593.4275621844,-25073.342130082914,75109.88141147632,-51958.028784668764,784456.1256013034,-26607.031499521356,10665.822963677678,0.0,140693.24185399176,1.830358087318018e-10,140693.24185399193,-35204.46555957546
2026-06-23,833892.992536602,870066.6694161777,738397.3225270674,-12702.010488320106,93465.58971496414,-52433.13171215518,726949.1136151013,-27742.703732626112,10860.46513010341,0.0,131669.34688911,1.4301804185379297e-10,131669.34688911014,-36173.67687957546
2026-06-24,808925.911336602,848926.6694161777,725057.0656526095,-13628.667505146317,84119.98974813902,-53504.51830060671,724484.4169001702,-27732.605093744743,11318.449903798151,0.0,123869.6037635679,1.2846612662542611e-10,123869.60376356803,-40000.75807957546
2026-06-25,769317.7875766025,813226.6694161783,695228.0419643399,-15952.091649246235,75626.4404238868,-54279.50987334699,706807.3895272436,-28342.498798145527,11368.312333948394,0.0,117998.6274518381,1.1391421139705926e-10,117998.62745183821,-43908.881839575464
2026-06-26,787353.5780965997,832366.6694161755,712368.003053799,-3059.461196187309,109222.3159032927,-55107.664060701616,679638.1879412122,-30566.14248048094,12240.766946664153,0.0,119998.66636237605,5.934452929068357e-11,119998.66636237611,-45013.09131957546
2026-06-29,798138.5780966004,845506.6694161762,724475.3867194527,-2111.435814919052,110814.78520972311,-54969.336144340785,688492.487907189,-30443.246491636168,12692.132053436771,0.0,121031.28269672314,5.206857167650014e-11,121031.2826967232,-47368.09131957546
2026-06-30,724348.5780965997,771746.6694161755,654486.4270517504,-15341.801100181343,79102.01878510142,-56486.02318130699,666427.7841638147,-31595.10128836249,12379.549672685112,0.0,117260.24236442476,3.751665644813329e-11,117260.2423644248,-47398.09131957546
2026-07-01,777873.5780966004,827266.6694161762,701319.5589153382,-15570.005799559098,76438.1820825271,-54713.43406546852,713001.6970691854,-31019.136891489048,13182.256520142437,0.0,125947.11050083762,4.4792614062316716e-11,125947.11050083768,-49393.09131957546
2026-07-02,777102.6375765991,831206.669416175,691512.0766354009,-4607.244944538492,37005.042312880796,-48334.21610929973,725725.2520385041,-28920.09198194264,10643.335319796908,0.0,139694.59278077376,1.1368683772161603e-12,139694.59278077376,-54104.03183957546
2026-07-03,803263.6617765978,861486.6694161736,705412.6840832408,-4597.427063288622,35794.14472079976,-49809.79725934133,743291.8050393467,-28539.47704588221,9273.435691606512,0.0,156073.98533293256,2.9558577807620168e-12,156073.98533293256,-58223.00763957546
2026-07-06,776278.8044565979,839466.6694161736,672562.8567986798,-3868.6562763462025,14449.83498279285,-49769.43430813768,732684.2403832353,-27967.535935047963,7034.407952183424,0.0,166903.81261749362,-1.887201506178826e-11,166903.8126174936,-63187.86495957546
2026-07-07,701103.8044565974,767186.6694161731,601044.7412487721,-20371.252921854164,-16090.814480880072,-52672.83698777053,713124.762255561,-29205.505164800292,6260.388548516057,0.0,166141.9281674009,3.9335645851679146e-11,166141.92816740094,-66082.86495957547
2026-07-08,652201.474536598,719386.6694161736,575765.2321310069,-4664.201627839375,-43911.18139507412,-50474.69483781453,694416.6486325728,-25397.07679153893,5795.738150700772,0.0,143621.43728516667,1.0481926437932998e-10,143621.43728516676,-67185.19487957547
2026-07-09,677782.6802165982,748066.6694161738,600690.6504354379,-4617.298998995877,-38691.59923389781,-50443.7184422066,714125.9907639546,-25859.96756626159,6177.243912845065,0.0,147376.01898073585,6.843947630841285e-11,147376.0189807359,-70283.98919957547
2026-07-10,555586.4500165973,630586.6694161729,534142.6030648812,-13991.730896492798,-61252.28931764806,-50077.218841389884,679018.3229936404,-22696.79537752164,3142.3145042929973,0.0,96444.06635129178,3.9335645851679146e-11,96444.06635129181,-75000.21939957548
2026-07-13,617934.1936965979,697846.6694161736,603734.4538401363,151338.7846610827,-86360.87477930656,39804.054893091525,519997.4128612329,-6127.94945100119,-14916.974344963211,0.0,94112.21557603736,6.843947630841285e-11,94112.21557603742,-79912.47571957548
2026-07-14,663549.694576597,748206.6694161725,654259.8785632827,162630.79768070296,-86720.08075109909,40225.3786810322,557909.7126134422,-5568.2468128996115,-14217.682847896109,0.0,93946.79085288994,6.116351869422942e-11,93946.79085289,-84656.97483957547
