TRADE_DT,CODE,EXPIRY,TYPE,STRIKE,PRICE,VOLUME,OI,TAU,EXPIRY_CODE
2026-06-01,MO2606-P-8300.CFE,2026-06-22,PUT,8300.0,198.6,14903.0,4734.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8400.CFE,2026-06-22,PUT,8400.0,252.8,18501.0,6135.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8500.CFE,2026-06-22,PUT,8500.0,313.2,10135.0,6830.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8600.CFE,2026-06-22,PUT,8600.0,380.8,5543.0,6209.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8700.CFE,2026-06-22,PUT,8700.0,458.2,2687.0,4464.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8800.CFE,2026-06-22,PUT,8800.0,540.0,1653.0,3767.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8900.CFE,2026-06-22,PUT,8900.0,624.2,434.0,1024.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9000.CFE,2026-06-22,PUT,9000.0,706.2,354.0,2166.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9100.CFE,2026-06-22,PUT,9100.0,798.4,210.0,385.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9200.CFE,2026-06-22,PUT,9200.0,899.2,227.0,487.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9300.CFE,2026-06-22,PUT,9300.0,996.4,176.0,219.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9400.CFE,2026-06-22,PUT,9400.0,1086.2,159.0,331.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9500.CFE,2026-06-22,PUT,9500.0,1192.2,182.0,209.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9600.CFE,2026-06-22,PUT,9600.0,1282.6,173.0,231.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9700.CFE,2026-06-22,PUT,9700.0,1372.2,165.0,93.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9800.CFE,2026-06-22,PUT,9800.0,1486.0,114.0,118.0,0.057534246575342465,2606
2026-06-01,MO2606-P-9900.CFE,2026-06-22,PUT,9900.0,1581.8,102.0,123.0,0.057534246575342465,2606
2026-06-01,MO2607-C-7400.CFE,2026-07-17,CALL,7400.0,907.8,51.0,149.0,0.12602739726027398,2607
2026-06-01,MO2607-C-7500.CFE,2026-07-17,CALL,7500.0,846.6,15.0,55.0,0.12602739726027398,2607
2026-06-01,MO2607-C-7600.CFE,2026-07-17,CALL,7600.0,743.2,21.0,39.0,0.12602739726027398,2607
2026-06-01,MO2607-C-7700.CFE,2026-07-17,CALL,7700.0,666.8,15.0,62.0,0.12602739726027398,2607
2026-06-01,MO2607-C-7800.CFE,2026-07-17,CALL,7800.0,593.4,46.0,205.0,0.12602739726027398,2607
2026-06-01,MO2607-C-7900.CFE,2026-07-17,CALL,7900.0,524.4,64.0,205.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8000.CFE,2026-07-17,CALL,8000.0,463.0,474.0,427.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8100.CFE,2026-07-17,CALL,8100.0,402.2,217.0,178.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8200.CFE,2026-07-17,CALL,8200.0,349.8,733.0,820.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8300.CFE,2026-07-17,CALL,8300.0,301.4,989.0,933.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8400.CFE,2026-07-17,CALL,8400.0,258.6,1594.0,1208.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8500.CFE,2026-07-17,CALL,8500.0,218.0,1548.0,1641.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8600.CFE,2026-07-17,CALL,8600.0,185.0,1521.0,2365.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8700.CFE,2026-07-17,CALL,8700.0,155.0,1162.0,2847.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8800.CFE,2026-07-17,CALL,8800.0,128.2,567.0,1024.0,0.12602739726027398,2607
2026-06-01,MO2607-C-8900.CFE,2026-07-17,CALL,8900.0,107.8,524.0,610.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9000.CFE,2026-07-17,CALL,9000.0,89.4,1483.0,3640.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9100.CFE,2026-07-17,CALL,9100.0,74.4,392.0,640.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9200.CFE,2026-07-17,CALL,9200.0,60.0,283.0,689.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9300.CFE,2026-07-17,CALL,9300.0,50.4,572.0,693.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9400.CFE,2026-07-17,CALL,9400.0,41.2,126.0,541.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9500.CFE,2026-07-17,CALL,9500.0,34.0,321.0,640.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9600.CFE,2026-07-17,CALL,9600.0,28.0,128.0,668.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9700.CFE,2026-07-17,CALL,9700.0,22.4,229.0,567.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9800.CFE,2026-07-17,CALL,9800.0,19.2,258.0,712.0,0.12602739726027398,2607
2026-06-01,MO2607-C-9900.CFE,2026-07-17,CALL,9900.0,15.6,965.0,1467.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7400.CFE,2026-07-17,PUT,7400.0,62.6,1152.0,2611.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7500.CFE,2026-07-17,PUT,7500.0,79.4,456.0,932.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7600.CFE,2026-07-17,PUT,7600.0,99.6,694.0,1801.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7700.CFE,2026-07-17,PUT,7700.0,121.8,586.0,1459.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7800.CFE,2026-07-17,PUT,7800.0,147.2,974.0,2017.0,0.12602739726027398,2607
2026-06-01,MO2607-P-7900.CFE,2026-07-17,PUT,7900.0,176.4,808.0,880.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8000.CFE,2026-07-17,PUT,8000.0,213.8,1552.0,1466.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8100.CFE,2026-07-17,PUT,8100.0,253.8,921.0,928.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8200.CFE,2026-07-17,PUT,8200.0,299.2,1224.0,1134.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8300.CFE,2026-07-17,PUT,8300.0,349.2,973.0,1284.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8400.CFE,2026-07-17,PUT,8400.0,408.6,1093.0,1215.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8500.CFE,2026-07-17,PUT,8500.0,469.6,735.0,1013.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8600.CFE,2026-07-17,PUT,8600.0,536.6,567.0,1030.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8700.CFE,2026-07-17,PUT,8700.0,607.2,477.0,729.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8800.CFE,2026-07-17,PUT,8800.0,683.6,374.0,579.0,0.12602739726027398,2607
2026-06-01,MO2607-P-8900.CFE,2026-07-17,PUT,8900.0,757.8,39.0,138.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9000.CFE,2026-07-17,PUT,9000.0,841.0,74.0,359.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9100.CFE,2026-07-17,PUT,9100.0,923.0,61.0,87.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9200.CFE,2026-07-17,PUT,9200.0,1007.6,18.0,63.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9300.CFE,2026-07-17,PUT,9300.0,1098.6,48.0,74.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9400.CFE,2026-07-17,PUT,9400.0,1192.2,24.0,82.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9500.CFE,2026-07-17,PUT,9500.0,1269.0,27.0,96.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9600.CFE,2026-07-17,PUT,9600.0,1374.2,23.0,91.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9700.CFE,2026-07-17,PUT,9700.0,1457.8,35.0,80.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9800.CFE,2026-07-17,PUT,9800.0,1569.2,69.0,114.0,0.12602739726027398,2607
2026-06-01,MO2607-P-9900.CFE,2026-07-17,PUT,9900.0,1664.8,64.0,99.0,0.12602739726027398,2607
2026-06-01,MO2608-C-7500.CFE,2026-08-21,CALL,7500.0,866.2,5.0,5.0,0.2219178082191781,2608
2026-06-01,MO2608-C-7600.CFE,2026-08-21,CALL,7600.0,785.4,12.0,12.0,0.2219178082191781,2608
2026-06-01,MO2608-C-7700.CFE,2026-08-21,CALL,7700.0,714.2,2.0,3.0,0.2219178082191781,2608
2026-06-01,MO2608-C-7800.CFE,2026-08-21,CALL,7800.0,637.6,9.0,18.0,0.2219178082191781,2608
2026-06-01,MO2608-C-7900.CFE,2026-08-21,CALL,7900.0,582.8,10.0,102.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8000.CFE,2026-08-21,CALL,8000.0,522.8,23.0,18.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8100.CFE,2026-08-21,CALL,8100.0,472.2,44.0,30.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8200.CFE,2026-08-21,CALL,8200.0,406.6,66.0,55.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8300.CFE,2026-08-21,CALL,8300.0,367.6,82.0,55.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8400.CFE,2026-08-21,CALL,8400.0,324.2,53.0,60.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8500.CFE,2026-08-21,CALL,8500.0,287.0,41.0,128.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8600.CFE,2026-08-21,CALL,8600.0,262.2,36.0,250.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8700.CFE,2026-08-21,CALL,8700.0,222.4,67.0,195.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8800.CFE,2026-08-21,CALL,8800.0,195.6,56.0,147.0,0.2219178082191781,2608
2026-06-01,MO2608-C-8900.CFE,2026-08-21,CALL,8900.0,170.4,40.0,161.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9000.CFE,2026-08-21,CALL,9000.0,152.0,61.0,294.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9100.CFE,2026-08-21,CALL,9100.0,131.8,81.0,205.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9200.CFE,2026-08-21,CALL,9200.0,117.4,46.0,122.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9300.CFE,2026-08-21,CALL,9300.0,105.4,67.0,125.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9400.CFE,2026-08-21,CALL,9400.0,93.4,62.0,82.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9500.CFE,2026-08-21,CALL,9500.0,79.2,49.0,162.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9600.CFE,2026-08-21,CALL,9600.0,71.8,57.0,143.0,0.2219178082191781,2608
2026-06-01,MO2608-C-9700.CFE,2026-08-21,CALL,9700.0,61.0,151.0,136.0,0.2219178082191781,2608
2026-06-01,MO2608-P-7500.CFE,2026-08-21,PUT,7500.0,166.0,252.0,180.0,0.2219178082191781,2608
2026-06-01,MO2608-P-7600.CFE,2026-08-21,PUT,7600.0,188.0,284.0,789.0,0.2219178082191781,2608
2026-06-01,MO2608-P-7700.CFE,2026-08-21,PUT,7700.0,221.6,71.0,105.0,0.2219178082191781,2608
2026-06-01,MO2608-P-7800.CFE,2026-08-21,PUT,7800.0,249.0,132.0,282.0,0.2219178082191781,2608
2026-06-01,MO2608-P-7900.CFE,2026-08-21,PUT,7900.0,288.2,23.0,82.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8000.CFE,2026-08-21,PUT,8000.0,330.0,53.0,120.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8100.CFE,2026-08-21,PUT,8100.0,369.2,8.0,89.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8200.CFE,2026-08-21,PUT,8200.0,421.0,58.0,70.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8300.CFE,2026-08-21,PUT,8300.0,476.6,26.0,81.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8400.CFE,2026-08-21,PUT,8400.0,522.8,31.0,119.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8500.CFE,2026-08-21,PUT,8500.0,593.6,45.0,192.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8600.CFE,2026-08-21,PUT,8600.0,649.6,38.0,269.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8700.CFE,2026-08-21,PUT,8700.0,641.0,12.0,144.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8800.CFE,2026-08-21,PUT,8800.0,762.0,12.0,110.0,0.2219178082191781,2608
2026-06-01,MO2608-P-8900.CFE,2026-08-21,PUT,8900.0,861.6,53.0,161.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9000.CFE,2026-08-21,PUT,9000.0,957.4,73.0,280.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9100.CFE,2026-08-21,PUT,9100.0,1034.4,30.0,361.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9200.CFE,2026-08-21,PUT,9200.0,1077.0,2.0,9.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9300.CFE,2026-08-21,PUT,9300.0,1203.2,11.0,9.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9400.CFE,2026-08-21,PUT,9400.0,982.6,0.0,2.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9500.CFE,2026-08-21,PUT,9500.0,1379.4,6.0,3.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9600.CFE,2026-08-21,PUT,9600.0,1427.6,3.0,8.0,0.2219178082191781,2608
2026-06-01,MO2608-P-9700.CFE,2026-08-21,PUT,9700.0,1519.0,4.0,5.0,0.2219178082191781,2608
2026-06-01,MO2609-C-10000.CFE,2026-09-18,CALL,10000.0,65.8,409.0,1544.0,0.29863013698630136,2609
2026-06-01,MO2609-C-6200.CFE,2026-09-18,CALL,6200.0,1931.8,13.0,340.0,0.29863013698630136,2609
2026-06-01,MO2609-C-6400.CFE,2026-09-18,CALL,6400.0,1761.4,6.0,211.0,0.29863013698630136,2609
2026-06-01,MO2609-C-6600.CFE,2026-09-18,CALL,6600.0,1552.8,26.0,362.0,0.29863013698630136,2609
2026-06-01,MO2609-C-6800.CFE,2026-09-18,CALL,6800.0,1390.0,6.0,364.0,0.29863013698630136,2609
