TRADE_DT,CODE,CLOSE,VOLUME,OI,EXPIRY_CODE,EXPIRY
2026-07-23,IM2703.CFE,6699.0,11041.0,19433.0,2703,2027-03-19
2026-07-24,IM2608.CFE,6944.4,57569.0,102157.0,2608,2026-08-21
2026-07-24,IM2609.CFE,6880.2,207512.0,253150.0,2609,2026-09-18
2026-07-24,IM2612.CFE,6685.0,37899.0,122161.0,2612,2026-12-18
2026-07-24,IM2703.CFE,6512.6,13185.0,22597.0,2703,2027-03-19
2026-07-27,IM2608.CFE,7207.8,64404.0,107804.0,2608,2026-08-21
2026-07-27,IM2609.CFE,7148.8,218451.0,256192.0,2609,2026-09-18
2026-07-27,IM2612.CFE,6951.0,40430.0,120629.0,2612,2026-12-18
2026-07-27,IM2703.CFE,6771.8,11242.0,23770.0,2703,2027-03-19
2026-07-28,IM2608.CFE,7001.4,62996.0,100000.0,2608,2026-08-21
2026-07-28,IM2609.CFE,6943.2,201223.0,245782.0,2609,2026-09-18
2026-07-28,IM2612.CFE,6754.6,37929.0,118939.0,2612,2026-12-18
2026-07-28,IM2703.CFE,6586.0,12222.0,26213.0,2703,2027-03-19
2026-07-29,IM2608.CFE,7090.2,77435.0,112058.0,2608,2026-08-21
2026-07-29,IM2609.CFE,7047.2,264111.0,270906.0,2609,2026-09-18
2026-07-29,IM2612.CFE,6883.0,55092.0,125388.0,2612,2026-12-18
2026-07-29,IM2703.CFE,6715.6,14832.0,29541.0,2703,2027-03-19
