TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,TARGET,TARGET_DELTA,LOG_MONEYNESS,STRIKE,MODEL_IV,ACHIEVED_DELTA,DELTA_ERROR,STATUS
2026-06-04,2026-09-18,2609,QUADRATIC,90PUT,-0.1,-0.1938069813251495,6693.347557000743,0.300148407770958,-0.10000000004068177,4.068176351346153e-11,OK
2026-06-04,2026-09-18,2609,QUADRATIC,ATM,,0.0,8124.8,0.2691116922344396,,,OK
2026-06-04,2026-12-18,2612,QUADRATIC,10CALL,0.1,0.28694928455352786,10536.276314658015,0.2828628356600518,0.09999999991362385,8.637615622753003e-11,OK
2026-06-04,2026-12-18,2612,QUADRATIC,25CALL,0.25,0.15456556034088137,9229.828481745008,0.27371363936186954,0.24999999999540412,4.595879232738298e-12,OK
2026-06-04,2026-12-18,2612,QUADRATIC,75PUT,-0.25,-0.11501021659374225,7048.851450395728,0.2762850556224348,-0.25000000007591905,7.591904882531253e-11,OK
2026-06-04,2026-12-18,2612,QUADRATIC,90PUT,-0.1,-0.2477974910736084,6172.33625807685,0.2880058763432158,-0.09999999991400103,8.599897183270144e-11,OK
2026-06-04,2026-12-18,2612,QUADRATIC,ATM,,0.0,7908.0,0.2717097161724388,,,OK
2026-06-04,2027-03-19,2703,QUADRATIC,10CALL,0.1,0.32466004562377926,10918.901310688143,0.26266896555867,0.09999999993092436,6.907564797931087e-11,OK
2026-06-04,2027-03-19,2703,QUADRATIC,25CALL,0.25,0.17639843273162842,9414.336997196566,0.25510117365470436,0.24999999993136046,6.86395384974503e-11,OK
2026-06-04,2027-03-19,2703,QUADRATIC,75PUT,-0.25,-0.13761418437957756,6877.265542185811,0.2884813595063299,-0.2500000000341641,3.4164115980672705e-11,OK
2026-06-04,2027-03-19,2703,QUADRATIC,90PUT,-0.1,-0.3460285038948058,5583.4496552498795,0.3476964424521698,-0.10000000005040127,5.04012664936937e-11,OK
2026-06-04,2027-03-19,2703,QUADRATIC,ATM,,0.0,7891.887294335806,0.26559016551999587,,,OK
2026-06-05,2026-06-22,2606,QUADRATIC,10CALL,0.1,0.07264301347732544,8916.558806438838,0.25716292256351836,0.09999999993770854,6.229146365388516e-11,OK
2026-06-05,2026-06-22,2606,QUADRATIC,25CALL,0.25,0.037899728089571004,8612.088042964699,0.25052805192982014,0.24999999992805247,7.19475312660478e-11,OK
2026-06-05,2026-06-22,2606,QUADRATIC,75PUT,-0.25,-0.03567716163396838,8001.187058744281,0.2557706871856604,-0.25000000004778544,4.778544226979875e-11,OK
2026-06-05,2026-06-22,2606,QUADRATIC,90PUT,-0.1,-0.0724874439835549,7712.015989749378,0.2682302275798269,-0.10000000003612126,3.6121258761845354e-11,OK
2026-06-05,2026-06-22,2606,QUADRATIC,ATM,,0.0,8291.8,0.24995524684888604,,,OK
2026-06-05,2026-07-17,2607,QUADRATIC,10CALL,0.1,0.1227773514986038,9287.016663113463,0.2727866928334494,0.10000000008519555,8.519554506314364e-11,OK
2026-06-05,2026-07-17,2607,QUADRATIC,25CALL,0.25,0.06582501077651978,8772.878961198363,0.2699210925134153,0.24999999995027003,4.9729970141854096e-11,OK
2026-06-05,2026-07-17,2607,QUADRATIC,75PUT,-0.25,-0.06015383899211889,7734.463925197897,0.2837258589245348,-0.2500000000219078,2.190780890032329e-11,OK
2026-06-05,2026-07-17,2607,QUADRATIC,90PUT,-0.1,-0.1259208117723464,7242.157822414951,0.30195518029148255,-0.09999999998558733,1.441267938329105e-11,OK
2026-06-05,2026-07-17,2607,QUADRATIC,ATM,,0.0,8214.0,0.27367318366451976,,,OK
2026-06-05,2026-08-21,2608,QUADRATIC,10CALL,0.1,0.17159193313121798,9732.292020283045,0.2780526354314268,0.09999999998050535,1.9494655889573664e-11,OK
2026-06-05,2026-08-21,2608,QUADRATIC,25CALL,0.25,0.08657191222906112,8939.050806359122,0.2577766504696367,0.2499999999979402,2.059796777587053e-12,OK
2026-06-05,2026-08-21,2608,QUADRATIC,75PUT,-0.25,-0.08492052495479571,7530.315745299668,0.30743516282926225,-0.24999999998124872,1.8751278307860275e-11,OK
2026-06-05,2026-08-21,2608,QUADRATIC,90PUT,-0.1,-0.2579848794937134,6333.624214446621,0.48030304610366803,-0.10000000006039603,6.039602151730605e-11,OK
2026-06-05,2026-08-21,2608,QUADRATIC,ATM,,0.0,8197.731728545441,0.2677108657634935,,,OK
2026-06-05,2026-09-18,2609,QUADRATIC,10CALL,0.1,0.22105241346359253,10048.465288319245,0.3029698927358211,0.09999999997093617,2.9063834672271582e-11,OK
2026-06-05,2026-09-18,2609,QUADRATIC,25CALL,0.25,0.11289543235301971,9018.363920658949,0.28189569087965366,0.250000000036275,3.6274983017392515e-11,OK
