TRADE_DT,EXPIRY,EXPIRY_CODE,TAU,FORWARD,RISK_FREE_RATE,MODEL,N_SAMPLES,a,b,c,RMSE,FIT_STATUS
2026-06-12,2027-03-19,2703,0.7671232876712328,7702.071338879278,0.015,QUADRATIC,18,0.2699760097455096,-0.11058268416916922,0.6717203343002338,0.005878793766306899,QUADRATIC
2026-06-15,2026-06-22,2606,0.019178082191780823,8475.2,0.015,QUADRATIC,41,0.2975188575770898,-0.2236403363731294,7.669467281680887,0.05801347448788985,QUADRATIC
2026-06-15,2026-07-17,2607,0.08767123287671233,8403.4,0.015,QUADRATIC,28,0.2699307990273561,-0.13200280915284934,2.7703659802581924,0.002751859761898226,QUADRATIC
2026-06-15,2026-08-21,2608,0.18356164383561643,8090.694420884009,0.015,QUADRATIC,26,0.2955163597258481,0.45942853243881693,-3.7958636104920536,0.03551147633543376,QUADRATIC
2026-06-15,2026-09-18,2609,0.2602739726027397,8244.6,0.015,QUADRATIC,20,0.2777594875372326,-0.030356091018928666,1.077317582685789,0.002075064526743141,QUADRATIC
2026-06-15,2026-12-18,2612,0.5095890410958904,8012.6,0.015,QUADRATIC,19,0.2748514192571643,-0.012740118328047223,0.27206420467491593,0.004104869284472555,QUADRATIC
2026-06-15,2027-03-19,2703,0.7589041095890411,6877.1935753208345,0.015,QUADRATIC,18,0.3250015310591329,1.6472050727926386,-9.011290879281269,0.07762191002025629,QUADRATIC
2026-06-16,2026-06-22,2606,0.01643835616438356,8602.4,0.015,QUADRATIC,41,0.2938561709871773,-0.4525013033981511,7.186266962790807,0.0650715741197367,QUADRATIC
2026-06-16,2026-07-17,2607,0.08493150684931507,8523.8,0.015,QUADRATIC,28,0.2750737896475041,-0.13166594841465518,3.2314800961741517,0.001574667313662726,QUADRATIC
2026-06-16,2026-08-21,2608,0.18082191780821918,8215.895770187095,0.015,QUADRATIC,26,0.29101342921701884,0.34175751545852784,-0.6264022614877623,0.03727186788533491,QUADRATIC
2026-06-16,2026-09-18,2609,0.25753424657534246,8349.0,0.015,QUADRATIC,20,0.2837350001595823,-0.022106056593175327,1.178678264502063,0.004359918926159162,QUADRATIC
2026-06-16,2026-12-18,2612,0.5068493150684932,8109.8,0.015,QUADRATIC,19,0.2785748976956531,0.0058117495233514505,0.258958720334137,0.0052275400648911586,QUADRATIC
2026-06-16,2027-03-19,2703,0.7561643835616438,6983.616321040431,0.015,QUADRATIC,18,0.3623035420478031,1.5154717762832235,-9.11884942996042,0.07859377067391751,QUADRATIC
2026-06-17,2026-06-22,2606,0.0136986301369863,8695.0,0.015,QUADRATIC,41,0.2874436537503436,-0.6212507668979448,7.394303771245558,0.06882293156509939,QUADRATIC
2026-06-17,2026-07-17,2607,0.0821917808219178,8612.0,0.015,QUADRATIC,28,0.27905910035630865,-0.08923301523650884,3.5332249212933635,0.0018856267804797057,QUADRATIC
2026-06-17,2026-08-21,2608,0.1780821917808219,8277.471890042321,0.015,QUADRATIC,26,0.30386322384843406,0.37653285224540956,-1.2454413839816418,0.04017945535051252,QUADRATIC
2026-06-17,2026-09-18,2609,0.2547945205479452,8445.0,0.015,QUADRATIC,20,0.2875147149137692,-0.057406238825696176,1.1676855182223687,0.0023335779019243766,QUADRATIC
2026-06-17,2026-12-18,2612,0.5041095890410959,8201.0,0.015,QUADRATIC,19,0.27456720244403426,-0.014882734426012345,0.4539671603455907,0.0025396703652692107,QUADRATIC
2026-06-17,2027-03-19,2703,0.7534246575342466,7035.9568092398695,0.015,QUADRATIC,18,0.3133038568649699,1.8849358500329942,-10.619027650784256,0.07620848212569749,QUADRATIC
2026-06-18,2026-06-22,2606,0.010958904109589041,8766.0,0.015,QUADRATIC,41,0.27562239957262463,-0.7678044560719535,7.5268113424317535,0.08561800444698194,QUADRATIC
2026-06-18,2026-07-17,2607,0.07945205479452055,8679.0,0.015,QUADRATIC,28,0.264178011476029,-0.14805227863095827,3.5344153046829803,0.0012983435708977741,QUADRATIC
2026-06-18,2026-08-21,2608,0.17534246575342466,8347.220480708276,0.015,QUADRATIC,26,0.28771813616136566,0.3444350981539731,1.1339936737808956,0.04014328647002821,QUADRATIC
2026-06-18,2026-09-18,2609,0.25205479452054796,8510.0,0.015,QUADRATIC,20,0.2832071449096257,-0.03393317530557155,1.3438437048630902,0.002243057138592947,QUADRATIC
2026-06-18,2026-12-18,2612,0.5013698630136987,8270.0,0.015,QUADRATIC,19,0.2745533513589967,-0.004898298036049409,0.514118978526721,0.003293758672590959,QUADRATIC
2026-06-18,2027-03-19,2703,0.7506849315068493,7095.244001990276,0.015,QUADRATIC,18,0.3385070199225197,1.8707485330007412,-11.115023870791902,0.07744203391514484,QUADRATIC
2026-06-22,2026-07-17,2607,0.0684931506849315,8706.2,0.015,QUADRATIC,28,0.2738715699388786,-0.07855771548875445,3.301634842189723,0.0050675376280807085,QUADRATIC
