"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2608.CFE,"2026-07-20",,,7205,7282.8,6713.6,6910,-287.4,,97418,13671305.244,,,,,,,,,,,,7197.4,6836.8,116948,"2",2026-07-23 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-21",,,6956,7234,6694.4,7220,383.2,,83442,11698374.38,,,,,,,,,,,,6836.8,7195.8,118438,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-22",,,7167,7252.6,7055.4,7091.2,-104.6,,71597,10261574.276,,,,,,,,,,,,7195.8,7096.4,104185,"2",2026-07-24 17:30:59,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-23",,,7145.2,7220.2,7063,7136.4,40,,54505,7786567.4,,,,,,,,,,,,7096.4,7131,105492,"2",2026-07-26 17:30:39,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-24",,,7080,7125,6932.4,6944.4,-186.6,,57569,8079702.732,,,,,,,,,,,,7131,6969,102157,"2",2026-07-27 17:30:53,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-27",,,6930.2,7208.8,6930.2,7207.8,238.8,,64404,9139955.424,,,,,,,,,,,,6969,7166.4,107804,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-28",,,7080,7137.6,6949.2,7001.4,-165,,62996,8874400.648,,,,,,,,,,,,7166.4,6979.6,100000,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2608.CFE,"2026-07-29",,,7006.2,7128,6877.2,7090.2,110.6,,77435,10842507.756,,,,,,,,,,,,6979.6,7071,112058,"2",2026-07-29 17:30:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-01",,,8134.6,8215,8070,8081.8,-2,,58978,9595309.296,,,,,,,,,,,,8083.8,8092.8,141306,"2",2026-06-04 17:31:16,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2609.CFE,"2026-06-02",,,8101,8176,7979.8,8106.4,13.6,,62980,10183508.78,,,,,,,,,,,,8092.8,8118.2,144585,"2",2026-06-05 17:31:55,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
