date,expiry,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MODEL_PNL,MARKET_PNL,MARKET_NOISE_PNL,OPTION_FEE,FUTURES_OPENING_FEE,FUTURES_CLOSING_FEE,FUTURES_FEE,FEE,ACTUAL_PNL,GROSS_OPTION_POSITION,FUTURES_POSITION,GAMMA_EXPOSURE,ATMVOL_EXPOSURE,SKEW_EXPOSURE,CURVATURE_EXPOSURE,THETA_EXPOSURE
2026-07-01,2026-09-18,-228.20469937775488,-2663.836702574319,1772.5891158384684,46573.912905370664,575.9643968734408,802.7068474573239,0.0,46833.13186358783,55520.000000000684,8686.868136412857,1995.0,0.0,0.0,0.0,1995.0,53525.000000000684,92,-10,-0.021921208010620252,-367059.8568063676,1009326.349793762,1523.3044021485832,-414251.71173860965
2026-07-02,2026-08-21,10962.760855020606,-39433.1397696463,6379.2179561687935,12723.554969318702,2099.0449095464046,-2538.9212003455277,0.0,-9807.482279937365,3939.9999999987776,13747.482279936143,3645.0,1065.94052,0.0,1065.94052,4710.94052,-770.9405200012225,151,17,-0.13254691080875083,-80678.73877192829,-1000137.1160407786,267.6639904625208,193976.080889173
2026-07-03,2026-08-21,9.81788124986997,-1210.89759208103,-1475.5811500415984,17566.553000842592,380.6149360604304,-1369.8996281903965,0.0,13900.60744783987,30279.99999999866,16379.392552158792,4080.0,38.9758,0.0,38.9758,4118.9758,26161.02419999866,157,18,-0.08971974316719711,89727.23405318773,-1009977.3437808284,1107.5891457031846,416676.8661380909
2026-07-06,2026-09-18,728.7707869424194,-21344.309738006912,40.36295120365267,-10607.564656111359,571.9411108342471,-2239.027739423088,0.0,-32849.82728456106,-22020.0,10829.827284561063,3840.0,1124.85732,0.0,1124.85732,4964.85732,-26984.85732,99,11,-0.06109745629614584,-67941.67561507724,-999150.6569577479,-3591.073401424822,78352.80037530416
2026-07-07,2026-09-18,-16502.59664550796,-30540.649463672922,-2903.4026796328535,-19559.478127674334,-1237.9692297523284,-774.0194036673663,0.0,-71518.1155499077,-72280.00000000041,-761.884450092708,2895.0,0.0,0.0,0.0,2895.0,-75175.00000000041,102,11,-0.07493562489881271,-135324.45807392287,-991748.9271978243,-2078.2595664215937,15676.419436249756
2026-07-08,2026-09-18,15707.05129401479,-27820.36691419405,2198.142149956004,-18708.11362298812,3808.428373261362,-464.6503978152848,0.0,-25279.509117765236,-47799.999999999476,-22520.49088223424,1065.0,37.32992,0.0,37.32992,1102.32992,-48902.32991999947,111,12,-0.09299202352467204,-249219.7949585152,-998100.719154566,-3326.3715265656147,-112018.41688799293
2026-07-09,2026-12-18,46.90262884349795,5219.582161176307,30.976395607934492,19709.342131381713,-462.8907747226576,381.50576214429304,0.0,24925.41830443105,28680.000000000233,3754.5816955691844,2445.0,653.79432,0.0,653.79432,3098.79432,25581.205680000232,52,6,0.0224427973092304,-32634.31614958754,-1007225.0668405604,-12339.485997473474,-71945.23007552642
2026-07-10,2026-08-21,-9374.431897496921,-22560.69008375025,366.4996008167162,-35107.66777031419,3163.1721887399463,-3034.929408552068,0.0,-66548.0473705568,-117480.00000000087,-50931.95262944407,3630.0,1086.2302,0.0,1086.2302,4716.2302,-122196.23020000088,190,23,-0.054685071327159336,125975.75242782461,-999940.8360173354,543.988327160827,410580.26998032926
2026-07-13,2026-08-21,165330.5155575755,-25108.5854616585,89881.27373448141,-159020.9101324076,16568.84592652045,-18059.28884925621,0.0,69591.85077525512,67260.0000000007,-2331.8507752544247,4875.0,37.25632,0.0,37.25632,4912.25632,62347.7436800007,195,22,-0.05216105576190984,-2195.493839505275,-986361.7475791973,-192.2002356621019,112601.3292888643
2026-07-14,2026-12-18,11292.013019620266,-359.2059717925349,421.3237879406712,37912.29975220933,559.7026381015788,699.2914970671035,0.0,50525.42472314641,50359.999999998996,-165.42472314741462,3720.0,1024.49912,0.0,1024.49912,4744.49912,45615.500879998996,53,7,0.03646419267036082,-217649.89726622138,-1008180.3286057108,-17003.274530284525,-227010.84390940433
