date,expiry,FIRST_DELTA_EXPOSURE,SECOND_DELTA_DELTA_EXPOSURE,FIRST_SMILE_ROLL_EXPOSURE,SECOND_SMILE_ROLL_SMILE_ROLL_EXPOSURE,FIRST_ATM_EXPOSURE,SECOND_ATM_ATM_EXPOSURE,FIRST_SKEW_EXPOSURE,SECOND_SKEW_SKEW_EXPOSURE,FIRST_CURV_EXPOSURE,SECOND_CURV_CURV_EXPOSURE,FIRST_TAU_EXPOSURE,SECOND_TAU_TAU_EXPOSURE,FIRST_R_EXPOSURE,SECOND_R_R_EXPOSURE,CROSS_DELTA_SMILE_ROLL_EXPOSURE,CROSS_DELTA_ATM_EXPOSURE,CROSS_DELTA_SKEW_EXPOSURE,CROSS_DELTA_CURV_EXPOSURE,CROSS_DELTA_TAU_EXPOSURE,CROSS_DELTA_R_EXPOSURE,CROSS_SMILE_ROLL_ATM_EXPOSURE,CROSS_SMILE_ROLL_SKEW_EXPOSURE,CROSS_SMILE_ROLL_CURV_EXPOSURE,CROSS_SMILE_ROLL_TAU_EXPOSURE,CROSS_SMILE_ROLL_R_EXPOSURE,CROSS_ATM_SKEW_EXPOSURE,CROSS_ATM_CURV_EXPOSURE,CROSS_ATM_TAU_EXPOSURE,CROSS_ATM_R_EXPOSURE,CROSS_SKEW_CURV_EXPOSURE,CROSS_SKEW_TAU_EXPOSURE,CROSS_SKEW_R_EXPOSURE,CROSS_CURV_TAU_EXPOSURE,CROSS_CURV_R_EXPOSURE,CROSS_TAU_R_EXPOSURE
2026-06-30,2026-09-18,-0.5969444985039445,-0.021921231730860857,1548474.145108374,-1149080.2821968156,-367059.8594978242,3205133.115429002,1009326.3497818555,58895.43586844331,1523.3044073280598,255.11319918200059,-414251.7126677034,1605791.855569527,34444.89427882522,-7551.332398886892,-334.93421870522826,6556.104830109833,138.6251829620929,51.75433365145403,4246.953469177968,-438.22532367434576,4270972.639793749,-528603.9763268435,1053865.761158653,6380209.493386645,-339389.6719834904,3016340.9902024087,29410.854774316154,715600.3062646445,80451.58622004892,31234.531162394233,4281533.197339888,-221221.81743868312,16927.982848038417,-333.82425672631734,247949.6199470079
2026-07-01,2026-08-21,-47.0258056874427,-0.13254679225540245,-2452938.2488251547,753452.9758794373,-80678.73634809279,-2295070.06013928,-1000137.1159928308,-11646.580798479961,267.6639864108456,-10.445547401477313,193976.08151364652,-1292234.5138864138,-9633.837487399429,1323.8200659139306,622.4563004996253,-11764.771289310784,-103.49559672236333,-43.922606185125495,-11113.645184120991,481.6392215674704,-6756195.741001382,100887.93038516492,-1032401.8020380147,-15279028.831080075,342746.0925268322,-2817541.4325175355,-5788.2257376039415,-1695039.3754219953,11273.113889432745,-13299.673962243782,-6265898.743398949,139748.02738781058,-907.4007014135714,-37.37364239565113,-96052.44994443445
2026-07-02,2026-08-21,-72.51944847961659,-0.08971963222322632,-2084823.0425026324,1017469.5805149106,89727.23605441605,-1644676.8843128886,-1009977.3437521613,-9560.255136385997,1107.5891404551676,-12.015328013494894,416676.86678682733,-1573323.135885119,-10047.120254815422,1410.9799748338305,847.4055392113708,-11720.856213896504,-86.58297800221106,-39.997476971402754,-11574.058217632872,503.0848478143315,-4927813.130432695,286023.24829616584,-1032038.2369139435,-12581286.351518212,285595.3457805043,-2466234.735901031,-4726.918731039208,-515295.5367319472,-12291.80424120935,-10927.460939918012,-6139862.129118005,138355.18778415595,2848.0273778656992,-151.77466212502372,-130422.52788864047
2026-07-03,2026-09-18,-27.128294898065178,-0.06109741439499217,-1712269.7971002315,302925.3625633342,-67941.67262183886,-3332343.912162374,-999150.6567651329,-52287.58545606356,-3591.073415220142,-244.3283269466151,78352.80124907102,-1148762.5814145084,-20081.61496907707,4229.781956787016,155.49599899665182,-7153.921793940686,-151.92037242518722,-50.216233021990746,-4725.495917369415,469.8325380697639,-4832462.240654379,12648.371325971326,-1044166.2399072142,-7317699.32981472,361218.3765880156,-2926294.925326772,-26124.087209374098,-1993885.7224619854,14333.241325145122,-27092.121810996967,-4327780.412032343,210778.83136113483,-22422.62914224989,757.5057590537276,-111720.92976571017
2026-07-06,2026-09-18,80.83961328033911,-0.07493558120099614,-1621146.8352701191,236886.31655617943,-135324.45507167128,-2860588.2591040293,-991748.9276938393,-19372.94689265643,-2078.2595594557406,79.36366494264155,15676.420242897584,-811736.3506910395,-19340.907096676572,3897.24795645128,127.40437684867413,-7422.6731700661885,-136.18568038194468,-58.20971145243959,-5130.343040735845,429.63800126643986,-5341133.626398828,-9325.164610869251,-1047334.278236117,-7769860.63182818,328663.4499055068,-3337042.748799518,-9676.929214467862,-1886550.8022191003,27435.773210789368,-34149.11396447364,-4788932.901591022,201069.02674989877,-7235.04249322215,421.3287650443274,-98575.94004333208
2026-07-07,2026-09-18,-89.53168257629932,-0.09299196516426811,-1802623.3441681755,-220890.95340906503,-249219.792104166,-2710070.6961250147,-998100.7190586439,-19583.300545639853,-3326.371524580658,4.916763986308524,-112018.41622769495,-652608.9908476254,-13713.769427188992,2763.221750178165,-33.13052290590588,-8272.266090569008,-140.97474026738917,-52.27730073777925,-5600.735378749671,497.9063298767211,-5439271.299945777,-202305.68286810862,-1044245.8063281769,-8249447.719937542,360522.2690547728,-3040735.6552751977,-9620.200303634316,-2231087.544284437,49844.14467054434,-25596.89735642769,-4583838.94321355,199617.24246596184,-12815.502719516851,665.2776294220589,-46164.553661280224
2026-07-08,2026-12-18,-1.881101422765596,0.022442807178306587,-209871.2828903313,-73083.96755029148,-32634.316119805328,-924852.5335215125,-1007225.0667442388,-97244.10070519657,-12339.485984767318,-1655.8079198255316,-71945.2298208508,-111924.21791278195,-8142.864205259069,3637.978807091722,-222.61738528342653,-3799.4029514911103,-118.17091642304037,-51.256364336773665,-1163.716883071817,536.7304850780102,-620687.2318486475,-197212.27850475162,-1019929.4293284565,-434372.1772441295,93724.28747495612,-2769758.441746887,-48619.33010105566,-492160.6473235104,14573.383175044728,-49194.52367711632,-1977487.5152628417,449802.0661744638,-31768.991739554836,5510.282141281328,13895.064966840757
2026-07-09,2026-08-21,62.264790272076425,-0.054684879548997145,-2119230.959879631,876222.7990132719,125975.75379584427,-1289073.4621088766,-999940.8362401369,-8824.259550535164,543.988319578988,-22.34533139636295,410580.2704052166,-1894657.0364783176,-7820.876069312508,936.6532241175355,759.0045124190028,-14784.591688087696,-83.34916648500246,-40.37837174487561,-16503.813275276218,534.5824969305162,-5176253.446972817,264731.69697463047,-1017285.2368290809,-14838427.26878544,249672.37555322787,-2490197.2555017737,-4424.239105593337,-253794.3737240769,-14840.946526928165,-8345.941449636552,-7035413.779912127,117803.68089982643,-517.357283416175,-64.01334127848259,-114754.51713763963
2026-07-10,2026-08-21,-78.33240521744756,-0.0521608672905296,-1288840.0532617948,179150.16231440706,-2195.4930382485036,-961905.4346130798,-986361.7479429089,-12116.985715245246,-192.20021885062488,-33.7634258589496,112601.32973221363,-1076993.1142845142,-3281.8706188209,338.53413899325597,307.77955421598534,-15335.339628014981,-83.7141961370719,-42.45685413682268,-17430.58390382985,515.3149704074403,-3373921.213060186,55128.95716551063,-997850.4023946214,-9451820.466092825,148303.03738074188,-2602019.82152144,-5187.607988479329,-814398.0289012007,252.97221885397448,-8898.454154976449,-7250194.498450691,113497.08475363141,-5808.904641479836,22.243410068689172,-41476.20349463384
2026-07-13,2026-12-18,98.00603540255406,0.03646420935995209,15445.754877065614,32545.176926726657,-217649.89874567115,-165992.731740891,-1008180.3285356406,-109003.6815196239,-17003.274510861404,-1657.7974819222154,-227010.84375826162,28117.086285628146,39818.16372136863,-17202.081734366315,-504.0732793672997,-3770.4698033416853,-114.3183493486569,-44.33031539493242,-1243.5013017701158,563.6028663131199,74136.97821560776,-505978.56131583836,-1014055.7293230118,-2533.162787620764,-6686.387995087767,-2171070.7064573662,-54518.15889424973,-638893.4404599308,94215.64399080395,-33283.20278824208,-1882993.9833380268,436418.00180251733,-42520.39736596246,7358.715748501056,190252.7149230682
