date,DELTA_PNL,SMILE_ROLL_PNL,GAMMA_PNL,ATMVOL_PNL,SKEW_PNL,CURVATURE_PNL,RHO_PNL,THETA_PNL,ATMVOL_VANNA_PNL,ATMVOL_VOLGA_PNL,MODEL_RESIDUAL,MARKET_NOISE,TOTAL_RESIDUAL,FEE_PNL,MODEL_PNL,MARKET_PNL,ACTUAL_PNL_AFTER_FEES
2026-06-16,4481.571086373937,-13828.574688401563,270.98175029554716,911.2693639872059,8451.220435332707,313.23323829831634,0.0,-77.87020248748786,3576.0958074946348,36.57155553895309,-1388.9348155224216,3474.4364690908114,2085.50165356839,-3816.6591950409966,2745.563530909829,6220.00000000064,2403.3408049596437
2026-06-17,-5119.69743761979,-13673.402654278576,92.08075974568646,146.02255697001692,-35844.00059856015,-27.577677361716667,0.0,43.77531071142607,1966.6972647764392,9.944435436100772,-793.2583345570383,-9360.583625262472,-10153.84195981951,-495.0,-53199.4163747376,-62560.00000000007,-63055.00000000007
2026-06-18,-507.20992679466144,-8828.531776227377,63.69881694158704,127.39651955132376,23112.33590213079,-289.9896824364864,0.0,356.6625150661812,-1434.186658351063,12.613049980018232,-1272.37838053606,2419.5896206758043,1147.2112401397444,-135.0,11340.410379324254,13760.000000000058,13625.000000000058
2026-06-22,515.7851041426366,-2222.1547707398367,5.253209764069872,293.9763861089573,66918.13945724836,-164.58453347990917,0.0,-149.1707015413449,144.79583120429496,1.4354971057963208,-2757.674843301211,6874.199363486987,4116.524520185776,-90.0,62585.80063651182,69459.9999999988,69369.9999999988
2026-06-23,12072.465631130646,20436.07349796146,177.05613876985012,710.0886698383592,-58060.0397767119,-169.25810068038845,0.0,-567.4147914945656,-2051.308622630053,-2.645906946939764,-741.1217743534617,-9023.894964881767,-9765.016739235229,-969.21132,-28196.105035116983,-37219.99999999875,-38189.21131999875
2026-06-24,922.7473770049401,-9617.770439649286,115.40063130126316,324.6954899251559,-2501.723229409749,4.073164207354225,0.0,913.7298758845996,-3102.3885122005095,51.99804626328803,-451.0192777849443,-7799.743125542096,-8250.76240332704,-3827.0812,-13340.25687445789,-21139.999999999985,-24967.081199999986
2026-06-25,-1240.4797466172458,-7894.8736701433545,20.327296344537217,24.962190471625945,-17868.935557369503,-121.07000138467538,0.0,143.25278806054848,-2334.0804015768704,31.49534842923896,-589.621934483861,-5870.976311729801,-6460.598246213662,-3908.12376,-29829.02368826956,-35699.99999999936,-39608.12375999936
2026-06-26,11300.321335081884,37087.38882108058,1622.8338114569196,497.41043459940374,-27889.746851733456,-202.66753157576568,0.0,-134.05862637681275,-2693.8668008306367,3.849465614246471,-2451.5029678571736,2000.0389105379568,-451.46405731921686,-1104.20948,17139.96108945919,19139.999999997148,18035.790519997146
2026-06-29,823.1227943954509,1589.225438222567,4.713173551282484,163.84686469351072,8991.821811214702,103.86956928850088,0.0,439.434091596926,-73.65406916834307,2.0277621653030744,62.97622969371878,1032.6163343470853,1095.592564040804,-2355.0,12107.383665653619,13140.000000000704,10785.000000000704
2026-06-30,-14164.384635254857,-30080.423555113724,540.8162940937136,231.29066870945235,-22047.05971876817,388.60148611493605,0.0,478.47175474218125,-4072.1311863950227,14.693502358788795,-1278.8342781896208,-3771.0403322983766,-5049.874610487997,-30.0,-69988.95966770232,-73760.0000000007,-73790.0000000007
